month,atoll_code,atoll_label,establishment_type,amount_mvr
2019-10-01,Lh,"Lh. (Lhaviyani)",Guesthouse,138.15
2019-10-01,M,"M. (Meemu)",Guesthouse,1885.59
2019-10-01,Male,"Malé City",Hotels,464981.28
2019-10-01,Male,"Malé City",Guesthouse,655798.41
2019-10-01,N,"N. (Noonu)",Resorts,1594550.88
2019-10-01,N,"N. (Noonu)",Guesthouse,4280.82
2019-10-01,R,"R. (Raa)",Resorts,3535717.20
2019-10-01,S,"S. (Addu)",Resorts,587384.28
2019-10-01,S,"S. (Addu)",Hotels,127079.16
2019-10-01,S,"S. (Addu)",Guesthouse,1795.47
2019-10-01,Sh,"Sh. (Shaviyani)",Resorts,190218.24
2019-10-01,Th,"Th. (Thaa)",Resorts,58283.04
2019-10-01,V,"V. (Vaavu)",Resorts,928747.62
2019-10-01,V,"V. (Vaavu)",Guesthouse,140181.78
2019-11-01,AA,"AA. (Alif Alif)",Resorts,6258033.54
2019-11-01,AA,"AA. (Alif Alif)",Guesthouse,123108.69
2019-11-01,ADh,"ADh. (Alif Dhaal)",Resorts,8608606.42
2019-11-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,83791.93
2019-11-01,B,"B. (Baa)",Resorts,4666297.50
2019-11-01,B,"B. (Baa)",Guesthouse,174134.28
2019-11-01,Dh,"Dh. (Dhaalu)",Resorts,3873914.88
2019-11-01,F,"F. (Faafu)",Guesthouse,644.70
2019-11-01,GA,"GA. (Gaafu Alif)",Resorts,1204152.78
